cell,scheduler,pair,pickcfg,channel,arm,initial,assignment,labor_hours,batch_hours,thr_items_hr,thr_task_items_hr,labor_saved,items,n_batches
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_map_rank_norsl,uni,map_rank,20.248913546698137,1.0906334419122121,5410684.990344663,291679.33568951697,0.009564559202104306,5930181,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_map_rank_norsl,uni,map_rank,17.637253246207546,0.9486631636155668,5189372.605864998,278548.7868189856,0.03316861556821138,4954804,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_cartlabor_norsl,opt,rank_cartlabor,20.25343298183801,1.0300148934107596,5735086.833348695,291608.64869521494,0.005260821071210842,5929944,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_cartlabor_norsl,opt,rank_cartlabor,17.687187154927518,0.9006107587586579,5469059.244041115,278520.97759688034,-0.01898118918858316,4967230,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_cartlabor_norsl,uni,rank_cartlabor,20.255004370416493,1.0297344269116093,5736925.227900616,291613.44669560896,0.0036894324927274624,5930186,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_rank_cartlabor_norsl,uni,rank_cartlabor,17.688170545527907,0.9004905736219277,5468317.449570345,278509.7139794022,-0.01996457978897226,4967359,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_cartlabor_norsl,opt,rank_cartlabor,20.25429964850468,1.0853812616407386,5433509.694088652,291607.4601840774,0.004178457395560997,5929944,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_cartlabor_norsl,opt,rank_cartlabor,17.688644645103164,0.9474736565793166,5183203.440722536,278472.436036393,-0.018222783327406233,4967169,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_cartlabor_norsl,uni,rank_cartlabor,20.253671037083166,1.0842992566390597,5431375.287313607,291615.09280103986,0.004807068817076043,5930186,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_rank_cartlabor_norsl,uni,rank_cartlabor,17.690253343283125,0.9476886713460687,5198023.503499407,278478.2743721211,-0.019831481507367243,4967324,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_labor_norsl,opt,rank_labor,20.254310687233364,1.0296699888659244,5737003.791134358,291577.45328950946,0.004383115675857141,5929904,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_labor_norsl,opt,rank_labor,17.68912703773042,0.9005434856005097,5467280.736396978,278452.75966054155,-0.020921071991484297,4967070,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_labor_norsl,uni,rank_labor,20.256295245218922,1.02986619169385,5735513.374713268,291578.2559168094,0.0023985576902987304,5930055,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_rank_labor_norsl,uni,rank_labor,17.68907537524062,0.9005849414076089,5468542.481441138,278467.1824812539,-0.020869409501685254,4967165,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_labor_norsl,opt,rank_labor,20.254510687233367,1.0862265113242742,5420365.315203589,291608.69685422746,0.003967418666874778,5929904,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_labor_norsl,opt,rank_labor,17.68904435552991,0.9491178031960354,5184784.13506811,278435.4493297,-0.018622493754151037,4967055,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_labor_norsl,uni,rank_labor,20.254961911885594,1.0844892216994964,5434317.184373398,291561.4309496704,0.0035161940146473114,5930055,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_rank_labor_norsl,uni,rank_labor,17.689895498293517,0.9494161840484694,5180013.882949155,278475.404621346,-0.01947363651775902,4967209,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_maxlabor_norsl,opt,rank_maxlabor,20.25597417622259,1.0298427290449377,5734232.0355394455,291581.99423781683,0.0027196266866305052,5929993,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_maxlabor_norsl,opt,rank_maxlabor,17.68998479799295,0.9007937563804848,5466112.7636090955,278472.15943368047,-0.021778832254014446,4967280,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_maxlabor_norsl,uni,rank_maxlabor,20.25674898992692,1.0299748872211436,5734105.933618144,291542.40891727834,0.001944812982301869,5930139,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_rank_maxlabor_norsl,uni,rank_maxlabor,17.68922802090378,0.9011366116178567,5465300.6210281355,278483.6715340786,-0.021022055164845455,4967416,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_maxlabor_norsl,opt,rank_maxlabor,20.25608610680957,1.0836742679916491,5443348.926492439,291575.700226102,0.0023919990906726696,5929980,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_maxlabor_norsl,opt,rank_maxlabor,17.69011068714435,0.945726758496298,5197504.321343365,278460.7041872561,-0.0196888253685934,4967354,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_maxlabor_norsl,uni,rank_maxlabor,20.256906588962437,1.085056199922402,5419964.942919919,291582.76719813637,0.0015715169378047733,5930212,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_rank_maxlabor_norsl,uni,rank_maxlabor,17.690766135469826,0.944687703766835,5208106.68076361,278477.6745801177,-0.020344273694067994,4967275,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_minlabor_norsl,opt,rank_minlabor,20.308329609682357,1.065884560740792,5622745.707473921,295154.62254367716,-0.04963580677313573,6017525,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_minlabor_norsl,opt,rank_minlabor,17.688287220164128,0.9183843769742914,5428741.273049767,281438.7330837642,-0.02008125442519315,5018589,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_rank_minlabor_norsl,uni,rank_minlabor,20.298902373705555,1.0596690235182629,5633474.829517491,295070.6891398831,-0.04020857079633444,6004537,75
k1_off_lpt,lpt,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,uni_rank_minlabor_norsl,uni,rank_minlabor,17.688453829680107,0.9141222799269381,5435730.001278072,281314.59000741824,-0.020247863941172284,5011434,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,opt_rank_minlabor_norsl,opt,rank_minlabor,20.307047799849084,1.2120331675297142,4896898.335428117,295225.9287131726,-0.04856969394884203,6018192,75
k1_off_rr,round_robin,mixed_20260816_131535__mixed_realistic_bell_ltrand0-5,ful_calibrated,fulfillment,opt_rank_minlabor_norsl,opt,rank_minlabor,17.691686535752154,1.0378853202781606,4843887.373749272,281420.2198027669,-0.021264673976396864,5019348,75
