cell,pair,config,channel,arm,rule,binkey,n,m_cnt,gate_n_ok,gate_prod_ok,branch,solve_s,error
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|seasonal|medium|pallet,15113,1000,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|furniture|extra_large|pallet,1648,500,False,True,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|chemical|small|pallet,705,1705,True,True,lap,0.3400326999981189,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|clothing|medium|pallet,14249,1000,False,False,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|food|singleton|singleton,4716,1500,False,False,greedy_gate,3.00002284348011e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|clothing|singleton|singleton,512,1262,True,True,lap,0.1251238000113517,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|furniture|extra_large|pallet,6518,500,False,True,greedy_gate,3.9998849388211966e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,conveyable|furniture|large|pallet,6414,650,False,False,greedy_gate,6.00004568696022e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|seasonal|extra_large|pallet,7095,500,False,True,greedy_gate,2.00001522898674e-07,
k1_off_rr,mixed_20260816_131535__mixed_realistic_bell_lt0,ful_calibrated,fulfillment,uni_cluster_map_rank_norsl,cluster_map_rank,non-conveyable|electronic|small|pallet,10505,2000,False,False,greedy_gate,5.00003807246685e-07,
