cell,pair,pickcfg,channel,arm,ref_task_ms,cell_task_ms,d_task_ms_pct,ref_batch_ms,cell_batch_ms,d_batch_ms_pct,ref_thr_batch,cell_thr_batch,d_thr_batch_pct,ref_thr_task,cell_thr_task,d_thr_task_pct
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_cmin_norsl,6278060.061202582,6278895.410683006,-0.01330585359618338,405128.63279825804,286731.0744235834,29.224682925245894,0.08772286122036993,0.12364277212967696,40.94703525352653,0.005642393888479278,0.005642466005137267,0.0012781216521650443
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_comp_norsl,6286675.158649389,6286536.092161169,0.0022120832508435466,512302.2596983257,334137.33991139627,34.7773050799822,0.06979301274291923,0.10681800342135427,53.04970973930534,0.0056407213730612984,0.005640823637207932,0.0018129622058955513
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_expn_norsl,6299815.727872472,6299940.778201304,-0.001984983914352536,406774.2708747212,288871.88434143265,28.984720759194783,0.08722331213135431,0.12263960729217598,40.60416223071917,0.005625257745216051,0.005624595128716426,-0.011779309138119688
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_fifo_norsl,6292738.048292344,6292811.25326715,-0.0011633246806738093,406031.5004802213,281631.85213610175,30.637930356878634,0.08721575415561739,0.125708207653224,44.13474821180273,0.005622492792307242,0.005621987591016072,-0.008985361294925782
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_map_norsl,6156311.653128853,6156999.875962402,-0.01117914219301899,398129.93050531985,273882.76103811356,31.207693757037465,0.08914444428025452,0.12931798141655665,45.065665573059796,0.005748235633597053,0.005748784042676876,0.009540476674567228
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_map_rank_norsl,6158985.970898574,6158945.100608308,0.0006635879747001125,396779.3048149698,274144.4947945439,30.907562096166842,0.08949687508679709,0.12917496757382987,44.334612184561344,0.005745984801989412,0.005746035924013134,0.0008896999467210618
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_cartlabor_norsl,6134624.554897301,6133961.096793703,0.010814974863758427,395833.04855041427,272377.5096657423,31.188790157057433,0.08969708526804576,0.1300397513827563,44.97656305570329,0.005768688180011702,0.005768671431249722,-0.00029033918036665453
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_labor_norsl,6134595.472773063,6133721.22462644,0.014251113223414887,400078.07570280245,273046.7144382485,31.751642736584014,0.0887899323020081,0.12979988006390783,46.18761012499639,0.005768719016466287,0.0057690644151931585,0.005987442374738804
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_maxlabor_norsl,6486136.857374268,6485945.916740197,0.002943826784256178,420718.0935486891,292310.7712357581,30.520988824092637,0.08443671091850095,0.12137275251368586,43.74405539177845,0.005464783377749242,0.005464754072721127,-0.0005362523285652409
k1_off_lpt,mixed_20260816_131535__mixed_realistic_bell_lt0,store,store,uni_rank_minlabor_norsl,6147304.984174631,6147441.86114576,-0.002226617541861002,473320.58682599076,295110.636381948,37.65100344337208,0.0753399537247809,0.12034000853247774,59.729336935994645,0.005766285809371813,0.005765872599324162,-0.007165965429237344
